"gene_id","gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1700030C10Rik","1700030C10Rik",18.8115497294782,0.00299316123903365,0.0535726279283892,NA,0.690876595207084,NA
"1810014B01Rik","1810014B01Rik",67.125666702158,-0.00897857426731441,0.049997462449204,NA,0.473944217397909,NA
"2610005L07Rik","2610005L07Rik",572.218284381562,-0.00304579590782885,0.0436869890689163,NA,0.834756348957806,0.974843866978512
"4933427D14Rik","4933427D14Rik",479.903852990203,0.0147537158685259,0.0465399257742568,NA,0.355565337195054,0.846369860396419
"6820431F20Rik","6820431F20Rik",1898.54595302457,0.0225810518589663,0.0417302144721283,NA,0.219260480983565,0.733112370967997
"A530058N18Rik","A530058N18Rik",89.1103120596197,0.00720424117330259,0.0481457530909416,NA,0.584327400709694,NA
"Aldoa","Aldoa",24017.5167395544,-0.00922833192686228,0.0253964744890867,NA,0.499988556238202,0.899773202249332
"Arhgap26","Arhgap26",1843.44840750929,0.00869973934892918,0.0299028922360605,NA,0.564121070172737,0.918255502031105
"Atp5o","Atp5o",2210.41073238699,0.0111646485184133,0.0296700522771895,NA,0.46063162838256,0.88370908695331
"AW822252","AW822252",38.5493757856556,0.00318901003187807,0.0518706080622328,NA,0.733267267197485,NA
"Bfar","Bfar",628.846280994439,-0.00478230342227313,0.0350637159646099,NA,0.761348315868877,0.960490143848235
"C920006O11Rik","C920006O11Rik",61.1589859408325,0.00515983362751689,0.0507228270791136,NA,0.634568435925695,NA
"Ddit3","Ddit3",303.176825568542,0.011413525861037,0.0445815631678589,NA,0.466679664857,0.883888892886428
"Fam220a","Fam220a",521.479057762877,-0.00844358365465549,0.0534691395870938,NA,0.385813326878118,0.853917344861873
"Gcat","Gcat",144.901594181747,0.00148650305715693,0.0482509673635068,NA,0.902835160176996,NA
"Gm16499","Gm16499",11.9588119278324,0.00281747424459167,0.0552723263292873,NA,0.609406880661559,NA
"Gm16701","Gm16701",144.470688841924,0.00141369447837894,0.0459012308029027,NA,0.916990345260237,NA
"Gm2011","Gm2011",84.4397505412197,0.0221530885224915,0.0569994313197119,NA,0.127301867356307,NA
"Gm20257","Gm20257",15.4454261317284,0.0184603930983242,0.068175337759312,NA,0.0319289193874236,NA
"Gm38642","Gm38642",25.7869584770503,0.00675758570994344,0.0529190663972733,NA,0.475911052893721,NA
"Gm4988","Gm4988",74.6656947569824,-0.0150165391961325,0.0582924247723412,NA,0.135875336692416,NA
"Gm5089","Gm5089",62.3328223221359,-0.000538712925283415,0.0493821055705114,NA,0.961970215068063,NA
"Gm5113","Gm5113",557.401490205439,0.00140490938452297,0.0361083280650301,NA,0.92855615417442,0.990388357861542
"Gm5468","Gm5468",48.5738544915181,0.00505020855030122,0.0509574876127308,NA,0.634773452327628,NA
"H2-K2","H2-K2",43.3427906051587,0.00837048449338695,0.0522885916963822,NA,0.432269191704283,NA
"Nlrp5-ps","Nlrp5-ps",28.6487556839926,0.00243404445843527,0.0513476328192246,NA,0.802476826152552,NA
"Nnt","Nnt",146.272521974391,-0.00501303981126436,0.056687934345345,NA,0.32581529145531,NA
"Nrg1","Nrg1",246.082166286271,0.00351068928734234,0.0437059635709864,NA,0.810389344244122,0.969667150442332
"Ppp4r1l-ps","Ppp4r1l-ps",343.173368006479,-0.0122645458129656,0.0413308356347468,NA,0.456387979681948,0.881483349689944
"Ptp4a1","Ptp4a1",2002.56430274989,0.00775227062122699,0.0334179001790047,NA,0.622449715825954,0.93710508149925
"Rmrp","Rmrp",11.3956954023139,0.00260105072737956,0.0561780906511306,NA,0.547290035173666,NA
"Septin2","Septin2",765.157347332645,0.00751855557948583,0.0410198304562047,NA,0.633275635480937,0.94076981494756
"Snhg4","Snhg4",125.663321183507,-0.0121633999461456,0.0469892125895319,NA,0.419634628023285,NA
"St6galnac2","St6galnac2",76.5287932001845,-0.0237900058341254,0.0585340528564196,NA,0.104348013250024,NA
"Tmem147os","Tmem147os",192.981370233586,0.0026783249534487,0.0423002778663308,NA,0.858282827803206,0.979578835114282
"Ube2d-ps","Ube2d-ps",309.170871639193,0.00664406642425299,0.0382266059276801,NA,0.676642407683246,0.950720355693482
"Zc3h11a","Zc3h11a",1042.82439589306,0.021180412000482,0.0691174150640564,NA,0.0306435954733662,0.358041928330116
"Zfp783","Zfp783",188.305436131338,-0.0458704488895717,0.0700825141383887,NA,0.0253193562780493,0.328756933073205
"Gm35558","Gm35558",38.1742195045622,-0.00536683884724888,0.052118234946894,NA,0.580099339640925,NA
"Ndor1","Ndor1",390.134802954285,0.0122835152009868,0.0389858437122885,NA,0.459311987680625,0.883522222490901
"Pakap","Pakap",1385.89512218687,-0.00380378110898045,0.0363243330479721,NA,0.809191048247918,0.969667150442332
"0610009B22Rik","0610009B22Rik",232.693256175225,0.00282298263576148,0.0402450918396552,NA,0.854941876800542,0.97926546844472
