"Metric","Value"
"Total_samples","16"
"Age_groups","6m, 15m, 24m, 30m"
"Samples_per_group","6m=4; 15m=4; 24m=4; 30m=4"
"Total_genes_before_filtering","55,285"
"Total_genes_after_filtering","15,893"
"DE_genes_15m_vs_6m_up","5"
"DE_genes_15m_vs_6m_down","1"
"DE_genes_24m_vs_15m_up","1"
"DE_genes_24m_vs_15m_down","1"
"DE_genes_30m_vs_24m_up","0"
"DE_genes_30m_vs_24m_down","0"
"DE_genes_30m_vs_6m_up","66"
"DE_genes_30m_vs_6m_down","2"
"Enrichment_GO_terms_up","356"
"Enrichment_KEGG_pathways_up","29"
"Top_3_upregulated_genes","C4b, Serpina3n, Gfap"
"Top_3_downregulated_genes","9630013A20Rik, Gm49037"
