"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,4.24687465344834e-19,1244,53,27,0.509433962264151,0.0217041800643087,"GO:0098542","GO:BP","defense response to other organism",25907,18545,"GO:0006952;GO:0051707"
"query_1",TRUE,4.24687465344834e-19,1742,53,30,0.566037735849057,0.0172215843857635,"GO:0051707","GO:BP","response to other organism",25907,13714,"GO:0043207;GO:0044419"
"query_1",TRUE,4.24687465344834e-19,1746,53,30,0.566037735849057,0.0171821305841924,"GO:0043207","GO:BP","response to external biotic stimulus",25907,10480,"GO:0009605;GO:0009607"
"query_1",TRUE,5.40544444405617e-19,1800,53,30,0.566037735849057,0.0166666666666667,"GO:0006952","GO:BP","defense response",25907,2572,"GO:0006950"
"query_1",TRUE,5.40544444405617e-19,1787,53,30,0.566037735849057,0.0167879127028539,"GO:0009607","GO:BP","response to biotic stimulus",25907,3521,"GO:0050896"
"query_1",TRUE,5.40544444405617e-19,2848,53,35,0.660377358490566,0.0122893258426966,"GO:0002376","GO:BP","immune system process",25907,904,"GO:0008150"
"query_1",TRUE,1.29334962693044e-18,1870,53,30,0.566037735849057,0.0160427807486631,"GO:0044419","GO:BP","biological process involved in interspecies interaction between organisms",25907,10892,"GO:0008150"
"query_1",TRUE,4.50733198817556e-18,2589,53,33,0.622641509433962,0.0127462340672074,"GO:0009605","GO:BP","response to external stimulus",25907,3519,"GO:0050896"
"query_1",TRUE,5.04154381547723e-18,1979,53,30,0.566037735849057,0.0151591712986357,"GO:0006955","GO:BP","immune response",25907,2575,"GO:0002376;GO:0050896"
"query_1",TRUE,3.41460632093052e-15,1038,53,22,0.415094339622642,0.0211946050096339,"GO:0140546","GO:BP","defense response to symbiont",25907,19565,"GO:0098542"
"query_1",TRUE,9.9731061844284e-15,1586,53,25,0.471698113207547,0.0157629255989912,"GO:0002682","GO:BP","regulation of immune system process",25907,1198,"GO:0002376;GO:0050789"
"query_1",TRUE,1.07179298583175e-14,963,53,21,0.39622641509434,0.0218068535825545,"GO:0045087","GO:BP","innate immune response",25907,11116,"GO:0006955;GO:0140546"
"query_1",TRUE,7.61171992894927e-14,924,53,20,0.377358490566038,0.0216450216450216,"GO:0050776","GO:BP","regulation of immune response",25907,13079,"GO:0002682;GO:0006955;GO:0048583"
"query_1",TRUE,6.86983601685929e-12,3917,53,32,0.60377358490566,0.00816951748787337,"GO:0006950","GO:BP","response to stress",25907,2571,"GO:0050896"
"query_1",TRUE,3.13477109770385e-11,10427,53,47,0.886792452830189,0.00450752853169656,"GO:0050896","GO:BP","response to stimulus",25907,13167,"GO:0008150"
"query_1",TRUE,1.19080560665764e-10,751,53,16,0.30188679245283,0.0213049267643142,"GO:0050778","GO:BP","positive regulation of immune response",25907,13081,"GO:0002684;GO:0006955;GO:0048584;GO:0050776"
"query_1",TRUE,3.06530906820601e-10,1109,53,18,0.339622641509434,0.0162308385933273,"GO:0002684","GO:BP","positive regulation of immune system process",25907,1200,"GO:0002376;GO:0002682;GO:0048518"
"query_1",TRUE,1.21872204880446e-09,381,53,12,0.226415094339623,0.031496062992126,"GO:0009615","GO:BP","response to virus",25907,3527,"GO:0051707"
"query_1",TRUE,3.40151785660545e-09,798,53,15,0.283018867924528,0.018796992481203,"GO:0002252","GO:BP","immune effector process",25907,782,"GO:0002376"
"query_1",TRUE,3.9760203274584e-08,301,53,10,0.188679245283019,0.0332225913621262,"GO:0051607","GO:BP","defense response to virus",25907,13633,"GO:0009615;GO:0098542"
"query_1",TRUE,6.22008729694051e-08,423,53,11,0.207547169811321,0.0260047281323877,"GO:0045088","GO:BP","regulation of innate immune response",25907,11117,"GO:0002831;GO:0031347;GO:0032101;GO:0045087;GO:0050776"
"query_1",TRUE,7.40441461342315e-08,432,53,11,0.207547169811321,0.025462962962963,"GO:0002697","GO:BP","regulation of immune effector process",25907,1213,"GO:0002252;GO:0002682"
"query_1",TRUE,1.47252010988283e-07,1063,53,15,0.283018867924528,0.0141110065851364,"GO:0071345","GO:BP","cellular response to cytokine stimulus",25907,16367,"GO:0034097"
"query_1",TRUE,2.38034136187003e-07,768,53,13,0.245283018867925,0.0169270833333333,"GO:0031347","GO:BP","regulation of defense response",25907,7099,"GO:0006952;GO:0080134"
"query_1",TRUE,3.74395537143215e-07,511,53,11,0.207547169811321,0.0215264187866928,"GO:0002831","GO:BP","regulation of response to biotic stimulus",25907,1339,"GO:0009607;GO:0048583"
"query_1",TRUE,4.46855546782208e-07,3939,53,26,0.490566037735849,0.0066006600660066,"GO:0048583","GO:BP","regulation of response to stimulus",25907,12687,"GO:0050789;GO:0050896"
"query_1",TRUE,4.47725564680712e-07,1168,53,15,0.283018867924528,0.0128424657534247,"GO:0034097","GO:BP","response to cytokine",25907,8345,"GO:1901652"
"query_1",TRUE,5.05987955379957e-07,1185,53,15,0.283018867924528,0.0126582278481013,"GO:1901652","GO:BP","response to peptide",25907,21338,"GO:0042221"
"query_1",TRUE,5.05987955379957e-07,532,53,11,0.207547169811321,0.0206766917293233,"GO:0002443","GO:BP","leukocyte mediated immunity",25907,964,"GO:0002252"
"query_1",TRUE,5.16999399557203e-07,207,53,8,0.150943396226415,0.0386473429951691,"GO:0001906","GO:BP","cell killing",25907,522,"GO:0009987"
"query_1",TRUE,6.15089362020953e-07,77,53,6,0.113207547169811,0.0779220779220779,"GO:0048002","GO:BP","antigen processing and presentation of peptide antigen",25907,12293,"GO:0019882"
"query_1",TRUE,6.50170366936081e-07,2336,53,20,0.377358490566038,0.00856164383561644,"GO:0048584","GO:BP","positive regulation of response to stimulus",25907,12688,"GO:0048518;GO:0048583;GO:0050896"
"query_1",TRUE,6.50254538305192e-07,1032,53,14,0.264150943396226,0.0135658914728682,"GO:0032101","GO:BP","regulation of response to external stimulus",25907,7318,"GO:0009605;GO:0048583"
"query_1",TRUE,7.27922602568517e-07,431,53,10,0.188679245283019,0.0232018561484919,"GO:0002449","GO:BP","lymphocyte mediated immunity",25907,970,"GO:0002443"
"query_1",TRUE,9.81650799268703e-07,41,53,5,0.0943396226415094,0.121951219512195,"GO:0019885","GO:BP","antigen processing and presentation of endogenous peptide antigen via MHC class I",25907,6031,"GO:0002474;GO:0002483"
"query_1",TRUE,1.0816810453942e-06,42,53,5,0.0943396226415094,0.119047619047619,"GO:0002483","GO:BP","antigen processing and presentation of endogenous peptide antigen",25907,1004,"GO:0019883;GO:0048002"
"query_1",TRUE,1.0920560829394e-06,454,53,10,0.188679245283019,0.0220264317180617,"GO:0002460","GO:BP","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",25907,981,"GO:0002250"
"query_1",TRUE,1.15779608211238e-06,43,53,5,0.0943396226415094,0.116279069767442,"GO:0019883","GO:BP","antigen processing and presentation of endogenous antigen",25907,6029,"GO:0019882"
"query_1",TRUE,1.40367857725937e-06,607,53,11,0.207547169811321,0.0181219110378913,"GO:0002250","GO:BP","adaptive immune response",25907,780,"GO:0006955"
"query_1",TRUE,2.3365361241143e-06,50,53,5,0.0943396226415094,0.1,"GO:0035458","GO:BP","cellular response to interferon-beta",25907,8980,"GO:0035456;GO:0071345"
"query_1",TRUE,2.3365361241143e-06,497,53,10,0.188679245283019,0.0201207243460765,"GO:0002683","GO:BP","negative regulation of immune system process",25907,1199,"GO:0002376;GO:0002682;GO:0048519"
"query_1",TRUE,3.07501347544543e-06,53,53,5,0.0943396226415094,0.0943396226415094,"GO:0002474","GO:BP","antigen processing and presentation of peptide antigen via MHC class I",25907,995,"GO:0048002"
"query_1",TRUE,4.2050778185041e-06,533,53,10,0.188679245283019,0.0187617260787993,"GO:0002253","GO:BP","activation of immune response",25907,783,"GO:0002376;GO:0050778"
"query_1",TRUE,4.65073372902434e-06,58,53,5,0.0943396226415094,0.0862068965517241,"GO:0035456","GO:BP","response to interferon-beta",25907,8978,"GO:0034097"
"query_1",TRUE,5.87675990583649e-06,61,53,5,0.0943396226415094,0.0819672131147541,"GO:0060760","GO:BP","positive regulation of response to cytokine stimulus",25907,14713,"GO:0034097;GO:0048584;GO:0060759"
