"gene_id","cluster"
"Gm38642",2
"Nlrp5-ps",1
"0610040F04Rik",1
"1700001L19Rik",5
"2310011J03Rik",3
"4931406C07Rik",1
"5730455P16Rik",2
"9630013A20Rik",3
"A2m",2
"A330015K06Rik",1
"A330094K24Rik",1
"A430108G06Rik",1
"A730011C13Rik",2
"AA414992",1
"Aamp",4
"Abca8a",1
"Abca8b",2
"Abcb4",2
"Abhd17a",3
"Abhd18",2
"Abhd8",4
"Acaa1a",3
"Acox3",2
"Actr1b",3
"Adam23",2
"Adap1",5
"Adcy3",4
"Add3",2
"Adgra3",3
"Agap3",3
"Aggf1",3
"Agmo",1
"Agpat1",5
"Aim2",1
"Aip",5
"Akr7a5",3
"Akt2",5
"Alkbh7",4
"Alox8",1
"Amigo3",3
"Anapc16",5
"Ankrd28",2
"Ankrd34a",5
"Ankrd44",2
"Antkmt",4
"Anxa3",1
"Anxa6",3
"Aox1",1
"Ap1s1",4
"Apbb1",4
"Apln",5
"Apobec1",1
"Apod",2
"Arhgap1",5
"Arhgdia",5
"Armc6",5
"Asb6",4
"Aspa",2
"Asphd1",4
"Asxl2",2
"Atcay",5
"Atf4",5
"Atf5",5
"Atf6b",5
"Atf7ip",1
"Atp5d",4
"Atp5g1",5
"Atp5j2",3
"Atp6v0b",4
"Atp6v0c",5
"Atp6v1f",4
"Atxn3",1
"Atxn7l3",4
"Atxn7l3b",4
"AU020206",1
"Azin1",5
"B230209E15Rik",1
"B230216N24Rik",3
"B2m",1
"B3galt5",1
"B3gat3",4
"B3glct",2
"B4galt2",4
"Bap1",4
"Bbln",5
"BC051142",1
"Bcan",3
"Bcl2l2",4
"Bclaf1",2
"Bicc1",1
"Bmp2k",1
"Bmpr1a",2
"Borcs6",3
"Brsk1",4
"Btbd17",3
"Btbd2",4
"C1qa",1
"C1qb",1
"C1qc",1
"C1ra",1
"C3",1
"C3ar1",1
"C4b",1
"Cacfd1",3
"Cadm4",4
"Calm3",4
"Camk1",5
"Camk2n1",3
"Camkk2",3
"Capg",1
"Car11",4
"Cbarp",3
"Cbx6",4
"Cbx8",3
"Ccdc184",4
"Ccdc47",2
"Ccdc85b",3
"Ccdc85c",3
"Ccdc88b",1
"Ccl27a",3
"Ccl6",1
"Ccser2",2
"Cd22",1
"Cd2ap",2
"Cd300c2",1
"Cd44",1
"Cd48",2
"Cd52",1
"Cd68",1
"Cd74",1
"Cd84",1
"Cd9",2
"Cdipt",5
"Cdk5r1",3
"Cdk5r2",3
"Cend1",4
"Cenpv",3
"Cercam",2
"Cfap74",2
"Cfh",1
"Cflar",1
"Chac1",4
"Chchd2",5
"Chchd4",4
"Chga",5
"Chil1",1
"Chmp7",4
"Chpf",5
"Chst15",2
"Chtf8",5
"Chtop",4
"Clec7a",1
"Clic5",1
"Clip4",2
"Clstn3",5
"Cltb",3
"Cnih2",5
"Col6a2",1
"Cops9",4
"Coro1a",4
"Cox14",5
"Cpeb2",2
"Creg1",1
"Creld1",5
"Crhr1",4
"Csf1",1
"Csnk1g2",5
"Cst7",2
"Ctnnal1",2
"Ctps2",2
"Ctsc",1
"Ctsd",1
"Ctss",1
"Ctsz",1
"Cuta",5
"Cwc27",2
"Cx3cl1",5
"Cyb561",5
"Cybb",1
"Cyc1",4
"Cyfip1",1
"Cyhr1",5
"Cyrib",2
"Cystm1",5
"D430036J16Rik",2
"D8Ertd738e",5
"Dazap1",3
"Dcaf8",2
"Ddx52",2
"Ddx60",1
"Derl3",5
"Dhdh",2
"Dhrs7b",5
"Dipk1b",4
"Dlg4",3
"Dlgap3",5
"Dmac1",3
"Dnajb11",5
"Dnlz",5
"Dock2",1
"Dohh",4
"Dok3",5
"Dok4",3
"Dph3",2
"Dpysl3",3
"Dtx1",4
"Dtx3",5
"Dut",3
"Dynll2",4
"E130307A14Rik",2
"Eef1akmt1",3
"Eef1d",5
"Efcab2",2
"Efna3",4
"Egln2",4
"Egr1",3
"Egr4",3
"Eif2ak2",1
"Eif4h",4
"Eif5a",5
"Eif6",4
"Elf4",2
"Elmo2",5
"Emc10",5
"Emc4",4
"Emc6",4
"Enho",3
"Eno2",3
"Enpp5",1
"Ensa",4
"Epc2",2
"Epn1",5
"Epop",5
"Erbin",2
"Erf",3
"Erlin2",1
"Espn",1
"Esrra",4
"Etfrf1",1
"Exd2",5
"Exoc1",2
"F8a",4
"Faap100",5
"Faim2",4
"Fam171a2",3
"Fam181b",3
"Fam193b",5
"Fam214b",4
"Fam98c",3
"Fastk",4
"Fbll1",3
"Fbxl15",3
"Fbxl19",4
"Fcgr2b",1
"Fcgr3",1
"Fech",2
"Fermt1",1
"Fkbp2",5
"Fkbp4",5
"Fkbp8",4
"Flnc",1
"Fmn1",2
"Fndc4",3
"Foxj3",2
"Fscn1",3
"Fth1",1
"Fxyd7",3
"G6pdx",2
"Gabarapl1",4
"Gabbr1",3
"Gadd45gip1",5
"Galc",2
"Galnt6",1
"Gas2l1",5
"Gbp6",1
"Gbp7",1
"Gclc",2
"Gcnt1",1
