"gene_id","rsq","cluster"
"Gm38642",NA,2
"Nlrp5-ps",NA,1
"0610040F04Rik",NA,1
"1700001L19Rik",NA,5
"2310011J03Rik",NA,3
"4931406C07Rik",NA,1
"5730455P16Rik",NA,2
"9630013A20Rik",NA,3
"A2m",NA,2
"A330015K06Rik",NA,1
"A330094K24Rik",NA,1
"A430108G06Rik",NA,1
"A730011C13Rik",NA,2
"AA414992",NA,1
"Aamp",NA,4
"Abca8a",NA,1
"Abca8b",NA,2
"Abcb4",NA,2
"Abhd17a",NA,3
"Abhd18",NA,2
"Abhd8",NA,4
"Acaa1a",NA,3
"Acox3",NA,2
"Actr1b",NA,3
"Adam23",NA,2
"Adap1",NA,5
"Adcy3",NA,4
"Add3",NA,2
"Adgra3",NA,3
"Agap3",NA,3
"Aggf1",NA,3
"Agmo",NA,1
"Agpat1",NA,5
"Aim2",NA,1
"Aip",NA,5
"Akr7a5",NA,3
"Akt2",NA,5
"Alkbh7",NA,4
"Alox8",NA,1
"Amigo3",NA,3
"Anapc16",NA,5
"Ankrd28",NA,2
"Ankrd34a",NA,5
"Ankrd44",NA,2
"Antkmt",NA,4
"Anxa3",NA,1
"Anxa6",NA,3
"Aox1",NA,1
"Ap1s1",NA,4
"Apbb1",NA,4
"Apln",NA,5
"Apobec1",NA,1
"Apod",NA,2
"Arhgap1",NA,5
"Arhgdia",NA,5
"Armc6",NA,5
"Asb6",NA,4
"Aspa",NA,2
"Asphd1",NA,4
"Asxl2",NA,2
"Atcay",NA,5
"Atf4",NA,5
"Atf5",NA,5
"Atf6b",NA,5
"Atf7ip",NA,1
"Atp5d",NA,4
"Atp5g1",NA,5
"Atp5j2",NA,3
"Atp6v0b",NA,4
"Atp6v0c",NA,5
"Atp6v1f",NA,4
"Atxn3",NA,1
"Atxn7l3",NA,4
"Atxn7l3b",NA,4
"AU020206",NA,1
"Azin1",NA,5
"B230209E15Rik",NA,1
"B230216N24Rik",NA,3
"B2m",NA,1
"B3galt5",NA,1
"B3gat3",NA,4
"B3glct",NA,2
"B4galt2",NA,4
"Bap1",NA,4
"Bbln",NA,5
"BC051142",NA,1
"Bcan",NA,3
"Bcl2l2",NA,4
"Bclaf1",NA,2
"Bicc1",NA,1
"Bmp2k",NA,1
"Bmpr1a",NA,2
"Borcs6",NA,3
"Brsk1",NA,4
"Btbd17",NA,3
"Btbd2",NA,4
"C1qa",NA,1
"C1qb",NA,1
"C1qc",NA,1
"C1ra",NA,1
"C3",NA,1
"C3ar1",NA,1
"C4b",NA,1
"Cacfd1",NA,3
"Cadm4",NA,4
"Calm3",NA,4
"Camk1",NA,5
"Camk2n1",NA,3
"Camkk2",NA,3
"Capg",NA,1
"Car11",NA,4
"Cbarp",NA,3
"Cbx6",NA,4
"Cbx8",NA,3
"Ccdc184",NA,4
"Ccdc47",NA,2
"Ccdc85b",NA,3
"Ccdc85c",NA,3
"Ccdc88b",NA,1
"Ccl27a",NA,3
"Ccl6",NA,1
"Ccser2",NA,2
"Cd22",NA,1
"Cd2ap",NA,2
"Cd300c2",NA,1
"Cd44",NA,1
"Cd48",NA,2
"Cd52",NA,1
"Cd68",NA,1
"Cd74",NA,1
"Cd84",NA,1
"Cd9",NA,2
"Cdipt",NA,5
"Cdk5r1",NA,3
"Cdk5r2",NA,3
"Cend1",NA,4
"Cenpv",NA,3
"Cercam",NA,2
"Cfap74",NA,2
"Cfh",NA,1
"Cflar",NA,1
"Chac1",NA,4
"Chchd2",NA,5
"Chchd4",NA,4
"Chga",NA,5
"Chil1",NA,1
"Chmp7",NA,4
"Chpf",NA,5
"Chst15",NA,2
"Chtf8",NA,5
"Chtop",NA,4
"Clec7a",NA,1
"Clic5",NA,1
"Clip4",NA,2
"Clstn3",NA,5
"Cltb",NA,3
"Cnih2",NA,5
"Col6a2",NA,1
"Cops9",NA,4
"Coro1a",NA,4
"Cox14",NA,5
"Cpeb2",NA,2
"Creg1",NA,1
"Creld1",NA,5
"Crhr1",NA,4
"Csf1",NA,1
"Csnk1g2",NA,5
"Cst7",NA,2
"Ctnnal1",NA,2
"Ctps2",NA,2
"Ctsc",NA,1
"Ctsd",NA,1
"Ctss",NA,1
"Ctsz",NA,1
"Cuta",NA,5
"Cwc27",NA,2
"Cx3cl1",NA,5
"Cyb561",NA,5
"Cybb",NA,1
"Cyc1",NA,4
"Cyfip1",NA,1
"Cyhr1",NA,5
"Cyrib",NA,2
"Cystm1",NA,5
"D430036J16Rik",NA,2
"D8Ertd738e",NA,5
"Dazap1",NA,3
"Dcaf8",NA,2
"Ddx52",NA,2
"Ddx60",NA,1
"Derl3",NA,5
"Dhdh",NA,2
"Dhrs7b",NA,5
"Dipk1b",NA,4
"Dlg4",NA,3
"Dlgap3",NA,5
"Dmac1",NA,3
"Dnajb11",NA,5
"Dnlz",NA,5
"Dock2",NA,1
"Dohh",NA,4
"Dok3",NA,5
"Dok4",NA,3
"Dph3",NA,2
"Dpysl3",NA,3
"Dtx1",NA,4
"Dtx3",NA,5
"Dut",NA,3
"Dynll2",NA,4
"E130307A14Rik",NA,2
"Eef1akmt1",NA,3
"Eef1d",NA,5
"Efcab2",NA,2
"Efna3",NA,4
"Egln2",NA,4
"Egr1",NA,3
"Egr4",NA,3
"Eif2ak2",NA,1
"Eif4h",NA,4
"Eif5a",NA,5
"Eif6",NA,4
"Elf4",NA,2
"Elmo2",NA,5
"Emc10",NA,5
"Emc4",NA,4
"Emc6",NA,4
"Enho",NA,3
"Eno2",NA,3
"Enpp5",NA,1
"Ensa",NA,4
"Epc2",NA,2
"Epn1",NA,5
"Epop",NA,5
"Erbin",NA,2
"Erf",NA,3
"Erlin2",NA,1
"Espn",NA,1
"Esrra",NA,4
"Etfrf1",NA,1
"Exd2",NA,5
"Exoc1",NA,2
"F8a",NA,4
"Faap100",NA,5
"Faim2",NA,4
"Fam171a2",NA,3
"Fam181b",NA,3
"Fam193b",NA,5
"Fam214b",NA,4
"Fam98c",NA,3
"Fastk",NA,4
"Fbll1",NA,3
"Fbxl15",NA,3
"Fbxl19",NA,4
"Fcgr2b",NA,1
"Fcgr3",NA,1
"Fech",NA,2
"Fermt1",NA,1
"Fkbp2",NA,5
"Fkbp4",NA,5
"Fkbp8",NA,4
"Flnc",NA,1
"Fmn1",NA,2
"Fndc4",NA,3
"Foxj3",NA,2
"Fscn1",NA,3
"Fth1",NA,1
"Fxyd7",NA,3
"G6pdx",NA,2
"Gabarapl1",NA,4
"Gabbr1",NA,3
"Gadd45gip1",NA,5
"Galc",NA,2
"Galnt6",NA,1
"Gas2l1",NA,5
"Gbp6",NA,1
"Gbp7",NA,1
"Gclc",NA,2
"Gcnt1",NA,1
"Gfap",NA,1
"Gfod2",NA,5
"Gga1",NA,3
"Ggta1",NA,1
"Gipr",NA,2
"Gm10524",NA,1
"Gm13889",NA,3
"Gm19500",NA,1
"Gm20559",NA,1
"Gm2415",NA,4
"Gm26740",NA,1
"Gm29216",NA,2
"Gm37206",NA,1
"Gm38340",NA,1
"Gm44861",NA,2
"Gm45104",NA,1
"Gm45351",NA,1
"Gm49759",NA,1
"Gmppb",NA,5
"Gnb2",NA,3
"Gng2",NA,2
"Gnl2",NA,2
"Gns",NA,2
"Golga7b",NA,3
"Gpam",NA,2
"Gpc1",NA,4
"Gpnmb",NA,1
"Gpr137",NA,4
"Gpr153",NA,3
"Gpr162",NA,4
"Gpr17",NA,3
"Gpr22",NA,1
"Gpr27",NA,3
